Data loaded!
Total unique citation sentences: 58405093
Processing chunk 4 (40000000 to 50000000)
[0/10000000] Processed: 384 | Elapsed: 0.02 min | ETA: 419.75 min
[38400/10000000] Processed: 38,784 | Elapsed: 1.46 min | ETA: 375.90 min
[76800/10000000] Processed: 77,184 | Elapsed: 2.93 min | ETA: 376.52 min
[115200/10000000] Processed: 115,584 | Elapsed: 4.39 min | ETA: 375.69 min
[153600/10000000] Processed: 153,984 | Elapsed: 5.85 min | ETA: 374.26 min
[192000/10000000] Processed: 192,384 | Elapsed: 7.30 min | ETA: 372.18 min
[230400/10000000] Processed: 230,784 | Elapsed: 8.75 min | ETA: 370.47 min
[268800/10000000] Processed: 269,184 | Elapsed: 10.21 min | ETA: 368.93 min
[307200/10000000] Processed: 307,584 | Elapsed: 11.66 min | ETA: 367.38 min
[345600/10000000] Processed: 345,984 | Elapsed: 13.10 min | ETA: 365.56 min
[384000/10000000] Processed: 384,384 | Elapsed: 14.56 min | ETA: 364.20 min
[422400/10000000] Processed: 422,784 | Elapsed: 16.02 min | ETA: 362.87 min
[460800/10000000] Processed: 461,184 | Elapsed: 17.47 min | ETA: 361.39 min
[499200/10000000] Processed: 499,584 | Elapsed: 18.92 min | ETA: 359.77 min
[537600/10000000] Processed: 537,984 | Elapsed: 20.37 min | ETA: 358.29 min
[576000/10000000] Processed: 576,384 | Elapsed: 21.83 min | ETA: 356.84 min
[614400/10000000] Processed: 614,784 | Elapsed: 23.27 min | ETA: 355.23 min
[652800/10000000] Processed: 653,184 | Elapsed: 24.72 min | ETA: 353.77 min
[691200/10000000] Processed: 691,584 | Elapsed: 26.18 min | ETA: 352.34 min
[729600/10000000] Processed: 729,984 | Elapsed: 27.63 min | ETA: 350.93 min
[768000/10000000] Processed: 768,384 | Elapsed: 29.09 min | ETA: 349.49 min
[806400/10000000] Processed: 806,784 | Elapsed: 30.54 min | ETA: 347.97 min
[844800/10000000] Processed: 845,184 | Elapsed: 31.99 min | ETA: 346.54 min
[883200/10000000] Processed: 883,584 | Elapsed: 33.44 min | ETA: 344.99 min
[921600/10000000] Processed: 921,984 | Elapsed: 34.89 min | ETA: 343.55 min
[960000/10000000] Processed: 960,384 | Elapsed: 36.34 min | ETA: 342.08 min
[998400/10000000] Processed: 998,784 | Elapsed: 37.80 min | ETA: 340.63 min
[1036800/10000000] Processed: 1,037,184 | Elapsed: 39.25 min | ETA: 339.14 min
[1075200/10000000] Processed: 1,075,584 | Elapsed: 40.70 min | ETA: 337.66 min
[1113600/10000000] Processed: 1,113,984 | Elapsed: 42.14 min | ETA: 336.15 min
[1152000/10000000] Processed: 1,152,384 | Elapsed: 43.59 min | ETA: 334.67 min
[1190400/10000000] Processed: 1,190,784 | Elapsed: 45.04 min | ETA: 333.17 min
[1228800/10000000] Processed: 1,229,184 | Elapsed: 46.48 min | ETA: 331.66 min
[1267200/10000000] Processed: 1,267,584 | Elapsed: 47.92 min | ETA: 330.11 min
[1305600/10000000] Processed: 1,305,984 | Elapsed: 49.37 min | ETA: 328.63 min
[1344000/10000000] Processed: 1,344,384 | Elapsed: 50.82 min | ETA: 327.17 min
[1382400/10000000] Processed: 1,382,784 | Elapsed: 52.27 min | ETA: 325.72 min
[1420800/10000000] Processed: 1,421,184 | Elapsed: 53.72 min | ETA: 324.30 min
[1459200/10000000] Processed: 1,459,584 | Elapsed: 55.18 min | ETA: 322.86 min
[1497600/10000000] Processed: 1,497,984 | Elapsed: 56.62 min | ETA: 321.37 min
[1536000/10000000] Processed: 1,536,384 | Elapsed: 58.08 min | ETA: 319.95 min
[1574400/10000000] Processed: 1,574,784 | Elapsed: 59.53 min | ETA: 318.50 min
[1612800/10000000] Processed: 1,613,184 | Elapsed: 60.99 min | ETA: 317.07 min
[1651200/10000000] Processed: 1,651,584 | Elapsed: 62.44 min | ETA: 315.61 min
[1689600/10000000] Processed: 1,689,984 | Elapsed: 63.88 min | ETA: 314.13 min
[1728000/10000000] Processed: 1,728,384 | Elapsed: 65.31 min | ETA: 312.57 min
[1766400/10000000] Processed: 1,766,784 | Elapsed: 66.74 min | ETA: 311.00 min
[1804800/10000000] Processed: 1,805,184 | Elapsed: 68.19 min | ETA: 309.58 min
[1843200/10000000] Processed: 1,843,584 | Elapsed: 69.65 min | ETA: 308.15 min
