Data loaded!
Total unique citation sentences: 58405093
Processing chunk 5 (50000000 to 58405093)
[2764800/8405093] Processed: 2,765,184 | Elapsed: 107.89 min | ETA: 220.05 min
[2803200/8405093] Processed: 2,803,584 | Elapsed: 109.39 min | ETA: 218.55 min
[2841600/8405093] Processed: 2,841,984 | Elapsed: 110.88 min | ETA: 217.05 min
[2880000/8405093] Processed: 2,880,384 | Elapsed: 112.38 min | ETA: 215.55 min
[2918400/8405093] Processed: 2,918,784 | Elapsed: 113.88 min | ETA: 214.06 min
[2956800/8405093] Processed: 2,957,184 | Elapsed: 115.38 min | ETA: 212.56 min
[2995200/8405093] Processed: 2,995,584 | Elapsed: 116.88 min | ETA: 211.07 min
[3033600/8405093] Processed: 3,033,984 | Elapsed: 118.37 min | ETA: 209.55 min
[3072000/8405093] Processed: 3,072,384 | Elapsed: 119.85 min | ETA: 208.03 min
[3110400/8405093] Processed: 3,110,784 | Elapsed: 121.34 min | ETA: 206.50 min
[3148800/8405093] Processed: 3,149,184 | Elapsed: 122.81 min | ETA: 204.97 min
[3187200/8405093] Processed: 3,187,584 | Elapsed: 124.30 min | ETA: 203.45 min
[3225600/8405093] Processed: 3,225,984 | Elapsed: 125.80 min | ETA: 201.97 min
[3264000/8405093] Processed: 3,264,384 | Elapsed: 127.30 min | ETA: 200.47 min
[3302400/8405093] Processed: 3,302,784 | Elapsed: 128.80 min | ETA: 198.97 min
[3340800/8405093] Processed: 3,341,184 | Elapsed: 130.30 min | ETA: 197.49 min
[3379200/8405093] Processed: 3,379,584 | Elapsed: 131.80 min | ETA: 195.99 min
[3417600/8405093] Processed: 3,417,984 | Elapsed: 133.30 min | ETA: 194.50 min
[3456000/8405093] Processed: 3,456,384 | Elapsed: 134.80 min | ETA: 193.00 min
[3494400/8405093] Processed: 3,494,784 | Elapsed: 136.30 min | ETA: 191.50 min
[3532800/8405093] Processed: 3,533,184 | Elapsed: 137.79 min | ETA: 190.00 min
[3571200/8405093] Processed: 3,571,584 | Elapsed: 139.28 min | ETA: 188.50 min
[3609600/8405093] Processed: 3,609,984 | Elapsed: 140.77 min | ETA: 186.99 min
[3648000/8405093] Processed: 3,648,384 | Elapsed: 142.26 min | ETA: 185.48 min
[3686400/8405093] Processed: 3,686,784 | Elapsed: 143.75 min | ETA: 183.97 min
[3724800/8405093] Processed: 3,725,184 | Elapsed: 145.25 min | ETA: 182.47 min
[3763200/8405093] Processed: 3,763,584 | Elapsed: 146.74 min | ETA: 180.98 min
[3801600/8405093] Processed: 3,801,984 | Elapsed: 148.23 min | ETA: 179.47 min
[3840000/8405093] Processed: 3,840,384 | Elapsed: 149.72 min | ETA: 177.96 min
[3878400/8405093] Processed: 3,878,784 | Elapsed: 151.22 min | ETA: 176.47 min
[3916800/8405093] Processed: 3,917,184 | Elapsed: 152.72 min | ETA: 174.97 min
[3955200/8405093] Processed: 3,955,584 | Elapsed: 154.22 min | ETA: 173.47 min
[3993600/8405093] Processed: 3,993,984 | Elapsed: 155.71 min | ETA: 171.98 min
[4032000/8405093] Processed: 4,032,384 | Elapsed: 157.21 min | ETA: 170.48 min
[4070400/8405093] Processed: 4,070,784 | Elapsed: 158.71 min | ETA: 168.98 min
[4108800/8405093] Processed: 4,109,184 | Elapsed: 160.20 min | ETA: 167.48 min
[4147200/8405093] Processed: 4,147,584 | Elapsed: 161.70 min | ETA: 165.99 min
[4185600/8405093] Processed: 4,185,984 | Elapsed: 163.20 min | ETA: 164.50 min
[4224000/8405093] Processed: 4,224,384 | Elapsed: 164.70 min | ETA: 163.00 min
[4262400/8405093] Processed: 4,262,784 | Elapsed: 166.20 min | ETA: 161.50 min
[4300800/8405093] Processed: 4,301,184 | Elapsed: 167.70 min | ETA: 160.01 min
[4339200/8405093] Processed: 4,339,584 | Elapsed: 169.19 min | ETA: 158.50 min
[4377600/8405093] Processed: 4,377,984 | Elapsed: 170.68 min | ETA: 157.00 min
[4416000/8405093] Processed: 4,416,384 | Elapsed: 172.17 min | ETA: 155.50 min
[4454400/8405093] Processed: 4,454,784 | Elapsed: 173.67 min | ETA: 154.00 min
[4492800/8405093] Processed: 4,493,184 | Elapsed: 175.16 min | ETA: 152.50 min
[4531200/8405093] Processed: 4,531,584 | Elapsed: 176.65 min | ETA: 150.99 min
[4569600/8405093] Processed: 4,569,984 | Elapsed: 178.13 min | ETA: 149.48 min
[4608000/8405093] Processed: 4,608,384 | Elapsed: 179.61 min | ETA: 147.98 min
[4646400/8405093] Processed: 4,646,784 | Elapsed: 181.11 min | ETA: 146.48 min
[4684800/8405093] Processed: 4,685,184 | Elapsed: 182.59 min | ETA: 144.97 min
[4723200/8405093] Processed: 4,723,584 | Elapsed: 184.08 min | ETA: 143.47 min
[4761600/8405093] Processed: 4,761,984 | Elapsed: 185.57 min | ETA: 141.97 min
[4800000/8405093] Processed: 4,800,384 | Elapsed: 187.06 min | ETA: 140.47 min
[4838400/8405093] Processed: 4,838,784 | Elapsed: 188.55 min | ETA: 138.97 min
[4876800/8405093] Processed: 4,877,184 | Elapsed: 190.05 min | ETA: 137.47 min
[4915200/8405093] Processed: 4,915,584 | Elapsed: 191.55 min | ETA: 135.98 min
[4953600/8405093] Processed: 4,953,984 | Elapsed: 193.05 min | ETA: 134.48 min
[4992000/8405093] Processed: 4,992,384 | Elapsed: 194.55 min | ETA: 132.99 min
[5030400/8405093] Processed: 5,030,784 | Elapsed: 196.05 min | ETA: 131.50 min
[5068800/8405093] Processed: 5,069,184 | Elapsed: 197.55 min | ETA: 130.00 min
[5107200/8405093] Processed: 5,107,584 | Elapsed: 199.04 min | ETA: 128.50 min
[5145600/8405093] Processed: 5,145,984 | Elapsed: 200.53 min | ETA: 127.00 min
[5184000/8405093] Processed: 5,184,384 | Elapsed: 202.01 min | ETA: 125.49 min
[5222400/8405093] Processed: 5,222,784 | Elapsed: 203.50 min | ETA: 123.99 min
[5260800/8405093] Processed: 5,261,184 | Elapsed: 205.00 min | ETA: 122.50 min
[5299200/8405093] Processed: 5,299,584 | Elapsed: 206.49 min | ETA: 121.00 min
[5337600/8405093] Processed: 5,337,984 | Elapsed: 207.97 min | ETA: 119.50 min
[5376000/8405093] Processed: 5,376,384 | Elapsed: 209.46 min | ETA: 118.00 min
[5414400/8405093] Processed: 5,414,784 | Elapsed: 210.96 min | ETA: 116.50 min
[5452800/8405093] Processed: 5,453,184 | Elapsed: 212.45 min | ETA: 115.00 min
[5491200/8405093] Processed: 5,491,584 | Elapsed: 213.93 min | ETA: 113.50 min
[5529600/8405093] Processed: 5,529,984 | Elapsed: 215.42 min | ETA: 112.00 min
[5568000/8405093] Processed: 5,568,384 | Elapsed: 216.91 min | ETA: 110.50 min
[5606400/8405093] Processed: 5,606,784 | Elapsed: 218.40 min | ETA: 109.00 min
[5644800/8405093] Processed: 5,645,184 | Elapsed: 219.88 min | ETA: 107.50 min
[5683200/8405093] Processed: 5,683,584 | Elapsed: 221.37 min | ETA: 106.00 min
[5721600/8405093] Processed: 5,721,984 | Elapsed: 222.85 min | ETA: 104.50 min
[5760000/8405093] Processed: 5,760,384 | Elapsed: 224.36 min | ETA: 103.01 min
[5798400/8405093] Processed: 5,798,784 | Elapsed: 225.86 min | ETA: 101.51 min
[5836800/8405093] Processed: 5,837,184 | Elapsed: 227.36 min | ETA: 100.02 min
[5875200/8405093] Processed: 5,875,584 | Elapsed: 228.86 min | ETA: 98.53 min
[5913600/8405093] Processed: 5,913,984 | Elapsed: 230.36 min | ETA: 97.03 min
[5952000/8405093] Processed: 5,952,384 | Elapsed: 231.85 min | ETA: 95.54 min
[5990400/8405093] Processed: 5,990,784 | Elapsed: 233.36 min | ETA: 94.04 min
[6028800/8405093] Processed: 6,029,184 | Elapsed: 234.84 min | ETA: 92.54 min
[6067200/8405093] Processed: 6,067,584 | Elapsed: 236.33 min | ETA: 91.05 min
[6105600/8405093] Processed: 6,105,984 | Elapsed: 237.83 min | ETA: 89.55 min
[6144000/8405093] Processed: 6,144,384 | Elapsed: 239.32 min | ETA: 88.05 min
[6182400/8405093] Processed: 6,182,784 | Elapsed: 240.82 min | ETA: 86.56 min
[6220800/8405093] Processed: 6,221,184 | Elapsed: 242.31 min | ETA: 85.06 min
[6259200/8405093] Processed: 6,259,584 | Elapsed: 243.81 min | ETA: 83.57 min
[6297600/8405093] Processed: 6,297,984 | Elapsed: 245.29 min | ETA: 82.07 min
[6336000/8405093] Processed: 6,336,384 | Elapsed: 246.79 min | ETA: 80.57 min
[6374400/8405093] Processed: 6,374,784 | Elapsed: 248.29 min | ETA: 79.08 min
[6412800/8405093] Processed: 6,413,184 | Elapsed: 249.79 min | ETA: 77.59 min
[6451200/8405093] Processed: 6,451,584 | Elapsed: 251.29 min | ETA: 76.09 min
[6489600/8405093] Processed: 6,489,984 | Elapsed: 252.77 min | ETA: 74.59 min
[6528000/8405093] Processed: 6,528,384 | Elapsed: 254.26 min | ETA: 73.09 min
