Data loaded!
Total unique citation sentences: 58405093
Processing chunk 3 (30000000 to 40000000)
[0/10000000] Processed: 384 | Elapsed: 0.02 min | ETA: 424.09 min
[38400/10000000] Processed: 38,784 | Elapsed: 1.45 min | ETA: 373.69 min
[76800/10000000] Processed: 77,184 | Elapsed: 2.90 min | ETA: 373.18 min
[115200/10000000] Processed: 115,584 | Elapsed: 4.33 min | ETA: 370.34 min
[153600/10000000] Processed: 153,984 | Elapsed: 5.77 min | ETA: 368.86 min
[192000/10000000] Processed: 192,384 | Elapsed: 7.20 min | ETA: 366.80 min
[230400/10000000] Processed: 230,784 | Elapsed: 8.64 min | ETA: 365.77 min
[268800/10000000] Processed: 269,184 | Elapsed: 10.09 min | ETA: 364.70 min
[307200/10000000] Processed: 307,584 | Elapsed: 11.53 min | ETA: 363.19 min
[345600/10000000] Processed: 345,984 | Elapsed: 12.94 min | ETA: 361.01 min
[384000/10000000] Processed: 384,384 | Elapsed: 14.38 min | ETA: 359.60 min
[422400/10000000] Processed: 422,784 | Elapsed: 15.80 min | ETA: 357.86 min
[460800/10000000] Processed: 461,184 | Elapsed: 17.23 min | ETA: 356.30 min
[499200/10000000] Processed: 499,584 | Elapsed: 18.66 min | ETA: 354.89 min
[537600/10000000] Processed: 537,984 | Elapsed: 20.09 min | ETA: 353.28 min
[576000/10000000] Processed: 576,384 | Elapsed: 21.50 min | ETA: 351.57 min
[614400/10000000] Processed: 614,784 | Elapsed: 22.94 min | ETA: 350.23 min
[652800/10000000] Processed: 653,184 | Elapsed: 24.37 min | ETA: 348.76 min
[691200/10000000] Processed: 691,584 | Elapsed: 25.80 min | ETA: 347.28 min
[729600/10000000] Processed: 729,984 | Elapsed: 27.23 min | ETA: 345.76 min
[768000/10000000] Processed: 768,384 | Elapsed: 28.66 min | ETA: 344.34 min
[806400/10000000] Processed: 806,784 | Elapsed: 30.11 min | ETA: 343.07 min
[844800/10000000] Processed: 845,184 | Elapsed: 31.54 min | ETA: 341.63 min
[883200/10000000] Processed: 883,584 | Elapsed: 32.98 min | ETA: 340.30 min
[921600/10000000] Processed: 921,984 | Elapsed: 34.42 min | ETA: 338.90 min
[960000/10000000] Processed: 960,384 | Elapsed: 35.86 min | ETA: 337.54 min
