Data loaded!
Total unique citation sentences: 58405093
Processing chunk 2 (20000000 to 30000000)
[0/10000000] Processed: 384 | Elapsed: 0.02 min | ETA: 423.47 min
[38400/10000000] Processed: 38,784 | Elapsed: 1.43 min | ETA: 367.21 min
[76800/10000000] Processed: 77,184 | Elapsed: 2.90 min | ETA: 373.33 min
[115200/10000000] Processed: 115,584 | Elapsed: 4.38 min | ETA: 374.67 min
[153600/10000000] Processed: 153,984 | Elapsed: 5.85 min | ETA: 373.97 min
[192000/10000000] Processed: 192,384 | Elapsed: 7.29 min | ETA: 371.44 min
[230400/10000000] Processed: 230,784 | Elapsed: 8.74 min | ETA: 369.90 min
[268800/10000000] Processed: 269,184 | Elapsed: 10.18 min | ETA: 368.06 min
[307200/10000000] Processed: 307,584 | Elapsed: 11.64 min | ETA: 366.74 min
[345600/10000000] Processed: 345,984 | Elapsed: 13.10 min | ETA: 365.44 min
[384000/10000000] Processed: 384,384 | Elapsed: 14.53 min | ETA: 363.58 min
[422400/10000000] Processed: 422,784 | Elapsed: 15.99 min | ETA: 362.18 min
[460800/10000000] Processed: 461,184 | Elapsed: 17.44 min | ETA: 360.81 min
[499200/10000000] Processed: 499,584 | Elapsed: 18.89 min | ETA: 359.28 min
[537600/10000000] Processed: 537,984 | Elapsed: 20.36 min | ETA: 358.07 min
[576000/10000000] Processed: 576,384 | Elapsed: 21.81 min | ETA: 356.63 min
[614400/10000000] Processed: 614,784 | Elapsed: 23.28 min | ETA: 355.43 min
[652800/10000000] Processed: 653,184 | Elapsed: 24.74 min | ETA: 353.98 min
[691200/10000000] Processed: 691,584 | Elapsed: 26.19 min | ETA: 352.51 min
[729600/10000000] Processed: 729,984 | Elapsed: 27.64 min | ETA: 351.05 min
[768000/10000000] Processed: 768,384 | Elapsed: 29.08 min | ETA: 349.42 min
[806400/10000000] Processed: 806,784 | Elapsed: 30.53 min | ETA: 347.90 min
[844800/10000000] Processed: 845,184 | Elapsed: 32.01 min | ETA: 346.68 min
[883200/10000000] Processed: 883,584 | Elapsed: 33.48 min | ETA: 345.43 min
[921600/10000000] Processed: 921,984 | Elapsed: 34.95 min | ETA: 344.14 min
[960000/10000000] Processed: 960,384 | Elapsed: 36.42 min | ETA: 342.82 min
[998400/10000000] Processed: 998,784 | Elapsed: 37.89 min | ETA: 341.44 min
[1036800/10000000] Processed: 1,037,184 | Elapsed: 39.33 min | ETA: 339.87 min
[1075200/10000000] Processed: 1,075,584 | Elapsed: 40.78 min | ETA: 338.40 min
[1113600/10000000] Processed: 1,113,984 | Elapsed: 42.25 min | ETA: 337.04 min
[1152000/10000000] Processed: 1,152,384 | Elapsed: 43.72 min | ETA: 335.65 min
[1190400/10000000] Processed: 1,190,784 | Elapsed: 45.18 min | ETA: 334.25 min
[1228800/10000000] Processed: 1,229,184 | Elapsed: 46.65 min | ETA: 332.90 min
[1267200/10000000] Processed: 1,267,584 | Elapsed: 48.13 min | ETA: 331.55 min
[1305600/10000000] Processed: 1,305,984 | Elapsed: 49.58 min | ETA: 330.07 min
[1344000/10000000] Processed: 1,344,384 | Elapsed: 51.03 min | ETA: 328.52 min
[1382400/10000000] Processed: 1,382,784 | Elapsed: 52.48 min | ETA: 327.06 min
[1420800/10000000] Processed: 1,421,184 | Elapsed: 53.95 min | ETA: 325.64 min
[1459200/10000000] Processed: 1,459,584 | Elapsed: 55.36 min | ETA: 323.92 min
[1497600/10000000] Processed: 1,497,984 | Elapsed: 56.80 min | ETA: 322.35 min
[1536000/10000000] Processed: 1,536,384 | Elapsed: 58.27 min | ETA: 320.98 min
[1574400/10000000] Processed: 1,574,784 | Elapsed: 59.72 min | ETA: 319.53 min
