timestamp, name, index, utilization.gpu [%], memory.used [MiB], memory.total [MiB]
2025/04/04 13:32:59.028, NVIDIA A10, 0, 85 %, 3351 MiB, 23028 MiB
2025/04/04 13:33:59.028, NVIDIA A10, 0, 100 %, 3351 MiB, 23028 MiB
2025/04/04 13:34:59.028, NVIDIA A10, 0, 100 %, 3351 MiB, 23028 MiB
2025/04/04 13:35:59.028, NVIDIA A10, 0, 85 %, 3351 MiB, 23028 MiB
2025/04/04 13:36:59.029, NVIDIA A10, 0, 100 %, 3351 MiB, 23028 MiB
2025/04/04 13:37:59.029, NVIDIA A10, 0, 100 %, 3351 MiB, 23028 MiB
2025/04/04 13:38:59.029, NVIDIA A10, 0, 100 %, 3351 MiB, 23028 MiB
2025/04/04 13:39:59.030, NVIDIA A10, 0, 86 %, 3351 MiB, 23028 MiB
2025/04/04 13:40:59.030, NVIDIA A10, 0, 100 %, 3351 MiB, 23028 MiB
2025/04/04 13:41:59.030, NVIDIA A10, 0, 100 %, 3351 MiB, 23028 MiB
2025/04/04 13:42:59.030, NVIDIA A10, 0, 100 %, 3351 MiB, 23028 MiB
2025/04/04 13:43:59.031, NVIDIA A10, 0, 100 %, 3351 MiB, 23028 MiB
2025/04/04 13:44:59.031, NVIDIA A10, 0, 100 %, 3351 MiB, 23028 MiB
2025/04/04 13:45:59.031, NVIDIA A10, 0, 100 %, 3351 MiB, 23028 MiB
2025/04/04 13:46:59.031, NVIDIA A10, 0, 100 %, 3351 MiB, 23028 MiB
2025/04/04 13:47:59.031, NVIDIA A10, 0, 86 %, 3351 MiB, 23028 MiB
2025/04/04 13:48:59.031, NVIDIA A10, 0, 85 %, 3351 MiB, 23028 MiB
2025/04/04 13:49:59.032, NVIDIA A10, 0, 86 %, 3351 MiB, 23028 MiB
2025/04/04 13:50:59.032, NVIDIA A10, 0, 100 %, 3351 MiB, 23028 MiB
2025/04/04 13:51:59.032, NVIDIA A10, 0, 89 %, 3351 MiB, 23028 MiB
2025/04/04 13:52:59.033, NVIDIA A10, 0, 100 %, 3351 MiB, 23028 MiB
2025/04/04 13:53:59.033, NVIDIA A10, 0, 100 %, 3351 MiB, 23028 MiB
2025/04/04 13:54:59.033, NVIDIA A10, 0, 100 %, 3351 MiB, 23028 MiB
2025/04/04 13:55:59.033, NVIDIA A10, 0, 100 %, 3351 MiB, 23028 MiB
2025/04/04 13:56:59.034, NVIDIA A10, 0, 100 %, 3351 MiB, 23028 MiB
2025/04/04 13:57:59.034, NVIDIA A10, 0, 100 %, 3351 MiB, 23028 MiB
2025/04/04 13:58:59.034, NVIDIA A10, 0, 100 %, 3351 MiB, 23028 MiB
2025/04/04 13:59:59.034, NVIDIA A10, 0, 100 %, 3351 MiB, 23028 MiB
2025/04/04 14:00:59.034, NVIDIA A10, 0, 100 %, 3351 MiB, 23028 MiB
2025/04/04 14:01:59.034, NVIDIA A10, 0, 100 %, 3351 MiB, 23028 MiB
2025/04/04 14:02:59.034, NVIDIA A10, 0, 100 %, 3351 MiB, 23028 MiB
2025/04/04 14:03:59.035, NVIDIA A10, 0, 100 %, 3351 MiB, 23028 MiB
2025/04/04 14:04:59.035, NVIDIA A10, 0, 85 %, 3351 MiB, 23028 MiB
2025/04/04 14:05:59.035, NVIDIA A10, 0, 100 %, 3351 MiB, 23028 MiB
2025/04/04 14:06:59.035, NVIDIA A10, 0, 100 %, 3351 MiB, 23028 MiB
2025/04/04 14:07:59.036, NVIDIA A10, 0, 86 %, 3351 MiB, 23028 MiB
2025/04/04 14:08:59.036, NVIDIA A10, 0, 100 %, 3351 MiB, 23028 MiB
2025/04/04 14:09:59.036, NVIDIA A10, 0, 86 %, 3351 MiB, 23028 MiB
2025/04/04 14:10:59.037, NVIDIA A10, 0, 96 %, 3351 MiB, 23028 MiB
2025/04/04 14:11:59.037, NVIDIA A10, 0, 100 %, 3351 MiB, 23028 MiB
2025/04/04 14:12:59.037, NVIDIA A10, 0, 100 %, 3351 MiB, 23028 MiB
2025/04/04 14:13:59.038, NVIDIA A10, 0, 100 %, 3351 MiB, 23028 MiB
2025/04/04 14:14:59.038, NVIDIA A10, 0, 86 %, 3351 MiB, 23028 MiB
