Data loaded!
Total unique citation sentences: 58405093
Processing chunk 1 (10000000 to 20000000)
[0/10000000] Processed: 384 | Elapsed: 0.02 min | ETA: 438.24 min
[38400/10000000] Processed: 38,784 | Elapsed: 1.50 min | ETA: 384.52 min
[76800/10000000] Processed: 77,184 | Elapsed: 2.99 min | ETA: 384.18 min
[115200/10000000] Processed: 115,584 | Elapsed: 4.47 min | ETA: 382.36 min
[153600/10000000] Processed: 153,984 | Elapsed: 5.95 min | ETA: 380.34 min
[192000/10000000] Processed: 192,384 | Elapsed: 7.42 min | ETA: 378.40 min
[230400/10000000] Processed: 230,784 | Elapsed: 8.90 min | ETA: 376.59 min
[268800/10000000] Processed: 269,184 | Elapsed: 10.37 min | ETA: 374.93 min
[307200/10000000] Processed: 307,584 | Elapsed: 11.84 min | ETA: 373.22 min
[345600/10000000] Processed: 345,984 | Elapsed: 13.31 min | ETA: 371.42 min
[384000/10000000] Processed: 384,384 | Elapsed: 14.78 min | ETA: 369.72 min
[422400/10000000] Processed: 422,784 | Elapsed: 16.25 min | ETA: 368.20 min
[460800/10000000] Processed: 461,184 | Elapsed: 17.72 min | ETA: 366.52 min
[499200/10000000] Processed: 499,584 | Elapsed: 19.19 min | ETA: 365.01 min
[537600/10000000] Processed: 537,984 | Elapsed: 20.67 min | ETA: 363.50 min
[576000/10000000] Processed: 576,384 | Elapsed: 22.14 min | ETA: 361.91 min
[614400/10000000] Processed: 614,784 | Elapsed: 23.61 min | ETA: 360.41 min
[652800/10000000] Processed: 653,184 | Elapsed: 25.08 min | ETA: 358.91 min
[691200/10000000] Processed: 691,584 | Elapsed: 26.55 min | ETA: 357.39 min
[729600/10000000] Processed: 729,984 | Elapsed: 28.03 min | ETA: 355.89 min
[768000/10000000] Processed: 768,384 | Elapsed: 29.50 min | ETA: 354.41 min
[806400/10000000] Processed: 806,784 | Elapsed: 30.97 min | ETA: 352.90 min
[844800/10000000] Processed: 845,184 | Elapsed: 32.44 min | ETA: 351.40 min
[883200/10000000] Processed: 883,584 | Elapsed: 33.91 min | ETA: 349.91 min
[921600/10000000] Processed: 921,984 | Elapsed: 35.39 min | ETA: 348.41 min
[960000/10000000] Processed: 960,384 | Elapsed: 36.85 min | ETA: 346.90 min
[998400/10000000] Processed: 998,784 | Elapsed: 38.33 min | ETA: 345.45 min
[1036800/10000000] Processed: 1,037,184 | Elapsed: 39.80 min | ETA: 343.96 min
[1075200/10000000] Processed: 1,075,584 | Elapsed: 41.28 min | ETA: 342.48 min
[1113600/10000000] Processed: 1,113,984 | Elapsed: 42.75 min | ETA: 341.02 min
[1152000/10000000] Processed: 1,152,384 | Elapsed: 44.23 min | ETA: 339.56 min
[1190400/10000000] Processed: 1,190,784 | Elapsed: 45.70 min | ETA: 338.08 min
[1228800/10000000] Processed: 1,229,184 | Elapsed: 47.17 min | ETA: 336.61 min
[1267200/10000000] Processed: 1,267,584 | Elapsed: 48.65 min | ETA: 335.16 min
[1305600/10000000] Processed: 1,305,984 | Elapsed: 50.12 min | ETA: 333.68 min
[1344000/10000000] Processed: 1,344,384 | Elapsed: 51.60 min | ETA: 332.23 min
[1382400/10000000] Processed: 1,382,784 | Elapsed: 53.08 min | ETA: 330.76 min
[1420800/10000000] Processed: 1,421,184 | Elapsed: 54.55 min | ETA: 329.30 min
[1459200/10000000] Processed: 1,459,584 | Elapsed: 56.03 min | ETA: 327.83 min
[1497600/10000000] Processed: 1,497,984 | Elapsed: 57.50 min | ETA: 326.34 min
[1536000/10000000] Processed: 1,536,384 | Elapsed: 58.98 min | ETA: 324.88 min
[1574400/10000000] Processed: 1,574,784 | Elapsed: 60.45 min | ETA: 323.41 min
[1612800/10000000] Processed: 1,613,184 | Elapsed: 61.93 min | ETA: 321.95 min
[1651200/10000000] Processed: 1,651,584 | Elapsed: 63.40 min | ETA: 320.49 min
[1689600/10000000] Processed: 1,689,984 | Elapsed: 64.88 min | ETA: 319.01 min
[1728000/10000000] Processed: 1,728,384 | Elapsed: 66.35 min | ETA: 317.53 min
[1766400/10000000] Processed: 1,766,784 | Elapsed: 67.82 min | ETA: 316.05 min
[1804800/10000000] Processed: 1,805,184 | Elapsed: 69.30 min | ETA: 314.57 min
[1843200/10000000] Processed: 1,843,584 | Elapsed: 70.77 min | ETA: 313.09 min
[1881600/10000000] Processed: 1,881,984 | Elapsed: 72.24 min | ETA: 311.60 min
[1920000/10000000] Processed: 1,920,384 | Elapsed: 73.71 min | ETA: 310.14 min
[1958400/10000000] Processed: 1,958,784 | Elapsed: 75.19 min | ETA: 308.67 min
[1996800/10000000] Processed: 1,997,184 | Elapsed: 76.66 min | ETA: 307.19 min
[2035200/10000000] Processed: 2,035,584 | Elapsed: 78.14 min | ETA: 305.72 min
[2073600/10000000] Processed: 2,073,984 | Elapsed: 79.61 min | ETA: 304.23 min
[2112000/10000000] Processed: 2,112,384 | Elapsed: 81.08 min | ETA: 302.76 min
[2150400/10000000] Processed: 2,150,784 | Elapsed: 82.56 min | ETA: 301.28 min
[2188800/10000000] Processed: 2,189,184 | Elapsed: 84.00 min | ETA: 299.70 min
[2227200/10000000] Processed: 2,227,584 | Elapsed: 85.45 min | ETA: 298.17 min
[2265600/10000000] Processed: 2,265,984 | Elapsed: 86.92 min | ETA: 296.66 min
[2304000/10000000] Processed: 2,304,384 | Elapsed: 88.39 min | ETA: 295.18 min
[2342400/10000000] Processed: 2,342,784 | Elapsed: 89.86 min | ETA: 293.71 min
[2380800/10000000] Processed: 2,381,184 | Elapsed: 91.34 min | ETA: 292.25 min
[2419200/10000000] Processed: 2,419,584 | Elapsed: 92.81 min | ETA: 290.78 min
[2457600/10000000] Processed: 2,457,984 | Elapsed: 94.29 min | ETA: 289.31 min
[2496000/10000000] Processed: 2,496,384 | Elapsed: 95.75 min | ETA: 287.80 min
