Data loaded!
Total unique citation sentences: 58405093
Processing chunk 0 (0 to 10000000)
[0/10000000] Processed: 384 | Elapsed: 0.02 min | ETA: 421.15 min
[38400/10000000] Processed: 38,784 | Elapsed: 1.46 min | ETA: 374.29 min
[76800/10000000] Processed: 77,184 | Elapsed: 2.91 min | ETA: 374.44 min
[115200/10000000] Processed: 115,584 | Elapsed: 4.37 min | ETA: 373.94 min
[153600/10000000] Processed: 153,984 | Elapsed: 5.82 min | ETA: 372.22 min
[192000/10000000] Processed: 192,384 | Elapsed: 7.25 min | ETA: 369.44 min
[230400/10000000] Processed: 230,784 | Elapsed: 8.68 min | ETA: 367.49 min
[268800/10000000] Processed: 269,184 | Elapsed: 10.13 min | ETA: 366.17 min
[307200/10000000] Processed: 307,584 | Elapsed: 11.57 min | ETA: 364.58 min
[345600/10000000] Processed: 345,984 | Elapsed: 13.02 min | ETA: 363.38 min
[384000/10000000] Processed: 384,384 | Elapsed: 14.48 min | ETA: 362.33 min
[422400/10000000] Processed: 422,784 | Elapsed: 15.93 min | ETA: 360.93 min
[460800/10000000] Processed: 461,184 | Elapsed: 17.39 min | ETA: 359.58 min
[499200/10000000] Processed: 499,584 | Elapsed: 18.76 min | ETA: 356.69 min
[537600/10000000] Processed: 537,984 | Elapsed: 20.22 min | ETA: 355.55 min
[576000/10000000] Processed: 576,384 | Elapsed: 21.68 min | ETA: 354.43 min
[614400/10000000] Processed: 614,784 | Elapsed: 23.13 min | ETA: 353.13 min
[652800/10000000] Processed: 653,184 | Elapsed: 24.58 min | ETA: 351.79 min
[691200/10000000] Processed: 691,584 | Elapsed: 25.99 min | ETA: 349.86 min
[729600/10000000] Processed: 729,984 | Elapsed: 27.46 min | ETA: 348.66 min
[768000/10000000] Processed: 768,384 | Elapsed: 28.91 min | ETA: 347.31 min
[806400/10000000] Processed: 806,784 | Elapsed: 30.35 min | ETA: 345.81 min
[844800/10000000] Processed: 845,184 | Elapsed: 31.80 min | ETA: 344.46 min
[883200/10000000] Processed: 883,584 | Elapsed: 33.25 min | ETA: 343.02 min
[921600/10000000] Processed: 921,984 | Elapsed: 34.68 min | ETA: 341.50 min
